date,positive
3/5/2020,53
3/4/2020,53
3/6/2020,60
3/7/2020,69
3/8/2020,88
3/9/2020,114
3/10/2020,133
3/11/2020,157
3/13/2020,202
3/12/2020,202
3/14/2020,252
3/15/2020,293
3/16/2020,335
3/17/2020,483
3/18/2020,611
3/19/2020,924
3/20/2020,1063
3/21/2020,1279
3/22/2020,1536
3/23/2020,1733
3/24/2020,2102
3/25/2020,2355
3/26/2020,3006
3/27/2020,3879
3/28/2020,4643
3/29/2020,5708
3/30/2020,6447
3/31/2020,7482
4/1/2020,8155
4/2/2020,9191
4/3/2020,10701
4/4/2020,12026
4/5/2020,13438
4/6/2020,14336
4/7/2020,15865
4/8/2020,16957
4/9/2020,18309
4/10/2020,19472
4/11/2020,20615
4/12/2020,21794
4/13/2020,22348
4/14/2020,23338
4/15/2020,24424
4/16/2020,26182
4/17/2020,27528
4/18/2020,28963
4/19/2020,30333
4/20/2020,30978
4/21/2020,33261
4/22/2020,35396
4/23/2020,37369
4/24/2020,39254
4/25/2020,41137
4/26/2020,42164
4/27/2020,43464
4/28/2020,45031
4/29/2020,46500
4/30/2020,48917
5/1/2020,50442
5/2/2020,52197
5/3/2020,53616
5/4/2020,54937
5/5/2020,56212
5/6/2020,58815
5/7/2020,60614
5/8/2020,62512
5/9/2020,64561
5/10/2020,66680
5/11/2020,67939
5/12/2020,69382
5/13/2020,71141
5/14/2020,73164
5/15/2020,74936
5/16/2020,76793
5/17/2020,78839
5/18/2020,80430
5/19/2020,81795
5/20/2020,84057
5/21/2020,86197
5/22/2020,88444
5/23/2020,90631
5/24/2020,92710
5/25/2020,94558
5/26/2020,96733
5/27/2020,98980
5/28/2020,101697
5/29/2020,103886
5/30/2020,106878
5/31/2020,110583
6/1/2020,113006
6/2/2020,115310
6/3/2020,117687
6/4/2020,119807
6/5/2020,122901
6/6/2020,126016
6/7/2020,128812
6/8/2020,131319
6/9/2020,133489
6/10/2020,136191
6/11/2020,139281
6/12/2020,141983
6/13/2020,145643
6/14/2020,148855
6/15/2020,151452
6/16/2020,153560
6/17/2020,157015
6/18/2020,161099
6/19/2020,165416
6/20/2020,169309
6/21/2020,173824
6/22/2020,178054
6/23/2020,183073
6/24/2020,190222
6/25/2020,195571
6/26/2020,200461
6/27/2020,206433
6/28/2020,211243
6/29/2020,219252
6/30/2020,228732
7/1/2020,236139
7/2/2020,242547
7/3/2020,248235
7/4/2020,257388
7/5/2020,265985
7/6/2020,271684
7/7/2020,277774
7/8/2020,289468
7/9/2020,296499
7/10/2020,304297
7/11/2020,312344
7/12/2020,320804
7/13/2020,329162
7/14/2020,336508
7/15/2020,347634
7/16/2020,356178
7/17/2020,366164
7/18/2020,375363
7/19/2020,384692
7/20/2020,391538
7/21/2020,400769
7/22/2020,413576
7/23/2020,425616
7/24/2020,435334
7/25/2020,445400
7/26/2020,453659
