date,state,positive
3/7/2021,CA,3501394
3/6/2021,CA,3497578
3/5/2021,CA,3493126
3/4/2021,CA,3488467
3/3/2021,CA,3484963
3/2/2021,CA,3481611
3/1/2021,CA,3479078
2/28/2021,CA,3475562
2/27/2021,CA,3470877
2/26/2021,CA,3465726
2/25/2021,CA,3460326
2/24/2021,CA,3455361
2/23/2021,CA,3450058
2/22/2021,CA,3446611
2/21/2021,CA,3441946
2/20/2021,CA,3435186
2/19/2021,CA,3428518
2/18/2021,CA,3421720
2/17/2021,CA,3416147
2/16/2021,CA,3412057
2/15/2021,CA,3406365
2/14/2021,CA,3399878
2/13/2021,CA,3391036
2/12/2021,CA,3381615
2/11/2021,CA,3371556
2/10/2021,CA,3362981
2/9/2021,CA,3354591
2/8/2021,CA,3346340
2/7/2021,CA,3335926
2/6/2021,CA,3320862
2/5/2021,CA,3308468
2/4/2021,CA,3294447
2/3/2021,CA,3281271
2/2/2021,CA,3270770
2/1/2021,CA,3258706
1/31/2021,CA,3243348
1/30/2021,CA,3224374
1/29/2021,CA,3205947
1/28/2021,CA,3186610
1/27/2021,CA,3169914
1/26/2021,CA,3153186
1/25/2021,CA,3136158
1/24/2021,CA,3109151
1/23/2021,CA,3085040
1/22/2021,CA,3062068
1/21/2021,CA,3039044
1/20/2021,CA,3019371
1/19/2021,CA,2996968
1/18/2021,CA,2973174
1/17/2021,CA,2942475
1/16/2021,CA,2900246
1/15/2021,CA,2859624
1/14/2021,CA,2816969
1/13/2021,CA,2781039
1/12/2021,CA,2747288
1/11/2021,CA,2710801
1/10/2021,CA,2670962
1/9/2021,CA,2621277
1/8/2021,CA,2568641
1/7/2021,CA,2518611
1/6/2021,CA,2482226
1/5/2021,CA,2452334
1/4/2021,CA,2420894
1/3/2021,CA,2391261
1/2/2021,CA,2345909
1/1/2021,CA,2292568
12/31/2020,CA,2245379
12/30/2020,CA,2218142
12/29/2020,CA,2187221
12/28/2020,CA,2155976
12/27/2020,CA,2122806
12/26/2020,CA,2072665
12/25/2020,CA,2042290
12/24/2020,CA,2003146
12/23/2020,CA,1964076
12/22/2020,CA,1925007
12/21/2020,CA,1892348
12/20/2020,CA,1854456
12/19/2020,CA,1807982
12/18/2020,CA,1764374
12/17/2020,CA,1723362
12/16/2020,CA,1671081
12/15/2020,CA,1617370
12/14/2020,CA,1585044
12/13/2020,CA,1551766
12/12/2020,CA,1521432
12/11/2020,CA,1485703
12/10/2020,CA,1450235
12/9/2020,CA,1420558
12/8/2020,CA,1389707
12/7/2020,CA,1366435
12/6/2020,CA,1341700
12/5/2020,CA,1311625
12/4/2020,CA,1286557
12/3/2020,CA,1264539
12/2/2020,CA,1245948
12/1/2020,CA,1225189
11/30/2020,CA,1212968
11/29/2020,CA,1198934
11/28/2020,CA,1183320
11/27/2020,CA,1171324
11/26/2020,CA,1158689
11/25/2020,CA,1144049
11/24/2020,CA,1125699
11/23/2020,CA,1110370
11/22/2020,CA,1102033
11/21/2020,CA,1087714
11/20/2020,CA,1072272
11/19/2020,CA,1059267
11/18/2020,CA,1047789
11/17/2020,CA,1037978
11/16/2020,CA,1029235
11/15/2020,CA,1019345
11/14/2020,CA,1008377
11/13/2020,CA,998502
11/12/2020,CA,991609
11/11/2020,CA,984682
11/10/2020,CA,977218
11/9/2020,CA,971851
11/8/2020,CA,964639
11/7/2020,CA,956957
11/6/2020,CA,951094
11/5/2020,CA,944576
11/4/2020,CA,940010
11/3/2020,CA,934672
11/2/2020,CA,930628
11/1/2020,CA,926534
10/31/2020,CA,922005
10/30/2020,CA,916918
10/29/2020,CA,912904
10/28/2020,CA,908713
10/27/2020,CA,904198
10/26/2020,CA,901010
10/25/2020,CA,898029
10/24/2020,CA,892810
10/23/2020,CA,886865
10/22/2020,CA,880724
10/21/2020,CA,877784
10/20/2020,CA,874077
10/19/2020,CA,870791
10/18/2020,CA,867317
10/17/2020,CA,864455
10/16/2020,CA,861476
10/15/2020,CA,858401
10/14/2020,CA,855072
10/13/2020,CA,852406
10/12/2020,CA,850028
10/11/2020,CA,846579
10/10/2020,CA,842776
10/9/2020,CA,838606
10/8/2020,CA,834800
10/7/2020,CA,831225
10/6/2020,CA,828461
10/5/2020,CA,826784
10/4/2020,CA,823729
10/3/2020,CA,819436
10/2/2020,CA,817277
10/1/2020,CA,813687
9/30/2020,CA,810625
9/29/2020,CA,807425
9/28/2020,CA,805263
9/27/2020,CA,802308
9/26/2020,CA,798237
9/25/2020,CA,794040
9/24/2020,CA,790640
9/23/2020,CA,787470
9/22/2020,CA,784324
9/21/2020,CA,781694
9/20/2020,CA,778400
9/19/2020,CA,774135
9/18/2020,CA,769831
9/17/2020,CA,766201
9/16/2020,CA,762963
9/15/2020,CA,760013
9/14/2020,CA,757778
9/13/2020,CA,754923
9/12/2020,CA,750298
9/11/2020,CA,746191
9/10/2020,CA,742865
9/9/2020,CA,739527
9/8/2020,CA,737911
9/7/2020,CA,735235
9/6/2020,CA,732144
9/5/2020,CA,727239
9/4/2020,CA,722283
9/3/2020,CA,717177
9/2/2020,CA,712052
9/1/2020,CA,707797
8/31/2020,CA,704085
8/30/2020,CA,699909
8/29/2020,CA,693839
8/28/2020,CA,688858
8/27/2020,CA,683529
8/26/2020,CA,679099
8/25/2020,CA,673095
8/24/2020,CA,668615
8/23/2020,CA,663669
8/22/2020,CA,656892
8/21/2020,CA,650336
8/20/2020,CA,644751
8/19/2020,CA,638831
8/18/2020,CA,632667
8/17/2020,CA,628031
8/16/2020,CA,621562
8/15/2020,CA,613689
8/14/2020,CA,601075
8/13/2020,CA,593141
8/12/2020,CA,586056
8/11/2020,CA,574411
8/10/2020,CA,561911
8/9/2020,CA,554160
8/8/2020,CA,545787
8/7/2020,CA,538416
8/6/2020,CA,529980
8/5/2020,CA,524722
8/4/2020,CA,519427
8/3/2020,CA,514901
8/2/2020,CA,509162
8/1/2020,CA,500130
7/31/2020,CA,493588
7/30/2020,CA,485502
7/29/2020,CA,475305
7/28/2020,CA,466550
7/27/2020,CA,460550
7/26/2020,CA,453659
7/25/2020,CA,445400
7/24/2020,CA,435334
7/23/2020,CA,425616
7/22/2020,CA,413576
7/21/2020,CA,400769
7/20/2020,CA,391538
7/19/2020,CA,384692
7/18/2020,CA,375363
7/17/2020,CA,366164
7/16/2020,CA,356178
7/15/2020,CA,347634
7/14/2020,CA,336508
7/13/2020,CA,329162
7/12/2020,CA,320804
7/11/2020,CA,312344
7/10/2020,CA,304297
7/9/2020,CA,296499
7/8/2020,CA,289468
7/7/2020,CA,277774
7/6/2020,CA,271684
7/5/2020,CA,265985
7/4/2020,CA,257388
7/3/2020,CA,248235
7/2/2020,CA,242547
7/1/2020,CA,236139
6/30/2020,CA,228732
6/29/2020,CA,219252
6/28/2020,CA,211243
6/27/2020,CA,206433
6/26/2020,CA,200461
6/25/2020,CA,195571
6/24/2020,CA,190222
6/23/2020,CA,183073
6/22/2020,CA,178054
6/21/2020,CA,173824
6/20/2020,CA,169309
6/19/2020,CA,165416
6/18/2020,CA,161099
6/17/2020,CA,157015
6/16/2020,CA,153560
6/15/2020,CA,151452
6/14/2020,CA,148855
6/13/2020,CA,145643
6/12/2020,CA,141983
6/11/2020,CA,139281
6/10/2020,CA,136191
6/9/2020,CA,133489
6/8/2020,CA,131319
6/7/2020,CA,128812
6/6/2020,CA,126016
6/5/2020,CA,122901
6/4/2020,CA,119807
6/3/2020,CA,117687
6/2/2020,CA,115310
6/1/2020,CA,113006
5/31/2020,CA,110583
5/30/2020,CA,106878
5/29/2020,CA,103886
5/28/2020,CA,101697
5/27/2020,CA,98980
5/26/2020,CA,96733
5/25/2020,CA,94558
5/24/2020,CA,92710
5/23/2020,CA,90631
5/22/2020,CA,88444
5/21/2020,CA,86197
5/20/2020,CA,84057
5/19/2020,CA,81795
5/18/2020,CA,80430
5/17/2020,CA,78839
5/16/2020,CA,76793
5/15/2020,CA,74936
5/14/2020,CA,73164
5/13/2020,CA,71141
5/12/2020,CA,69382
5/11/2020,CA,67939
5/10/2020,CA,66680
5/9/2020,CA,64561
5/8/2020,CA,62512
5/7/2020,CA,60614
5/6/2020,CA,58815
5/5/2020,CA,56212
5/4/2020,CA,54937
5/3/2020,CA,53616
5/2/2020,CA,52197
5/1/2020,CA,50442
4/30/2020,CA,48917
4/29/2020,CA,46500
4/28/2020,CA,45031
4/27/2020,CA,43464
4/26/2020,CA,42164
4/25/2020,CA,41137
4/24/2020,CA,39254
4/23/2020,CA,37369
4/22/2020,CA,35396
4/21/2020,CA,33261
4/20/2020,CA,30978
4/19/2020,CA,30333
4/18/2020,CA,28963
4/17/2020,CA,27528
4/16/2020,CA,26182
4/15/2020,CA,24424
4/14/2020,CA,23338
4/13/2020,CA,22348
4/12/2020,CA,21794
4/11/2020,CA,20615
4/10/2020,CA,19472
4/9/2020,CA,18309
4/8/2020,CA,16957
4/7/2020,CA,15865
4/6/2020,CA,14336
4/5/2020,CA,13438
4/4/2020,CA,12026
4/3/2020,CA,10701
4/2/2020,CA,9191
4/1/2020,CA,8155
3/31/2020,CA,7482
3/30/2020,CA,6447
3/29/2020,CA,5708
3/28/2020,CA,4643
3/27/2020,CA,3879
3/26/2020,CA,3006
3/25/2020,CA,2355
3/24/2020,CA,2102
3/23/2020,CA,1733
3/22/2020,CA,1536
3/21/2020,CA,1279
3/20/2020,CA,1063
3/19/2020,CA,924
3/18/2020,CA,611
3/17/2020,CA,483
3/16/2020,CA,335
3/15/2020,CA,293
3/14/2020,CA,252
3/13/2020,CA,202
3/12/2020,CA,202
3/11/2020,CA,157
3/10/2020,CA,133
3/9/2020,CA,114
3/8/2020,CA,88
3/7/2020,CA,69
3/6/2020,CA,60
3/5/2020,CA,53
3/4/2020,CA,53
