date,state,positive
3/7/2021,CO,436602
3/6/2021,CO,435762
3/5/2021,CO,434654
3/4/2021,CO,433021
3/3/2021,CO,431670
3/2/2021,CO,430615
3/1/2021,CO,429839
2/28/2021,CO,428303
2/27/2021,CO,427462
2/26/2021,CO,426198
2/25/2021,CO,424677
2/24/2021,CO,423558
2/23/2021,CO,422390
2/22/2021,CO,421294
2/21/2021,CO,420614
2/20/2021,CO,419812
2/19/2021,CO,418695
2/18/2021,CO,417415
2/17/2021,CO,416174
2/16/2021,CO,415037
2/15/2021,CO,414369
2/14/2021,CO,413836
2/13/2021,CO,412983
2/12/2021,CO,411774
2/11/2021,CO,409683
2/10/2021,CO,407961
2/9/2021,CO,407210
2/8/2021,CO,406276
2/7/2021,CO,405289
2/6/2021,CO,404255
2/5/2021,CO,402714
2/4/2021,CO,400851
2/3/2021,CO,399267
2/2/2021,CO,397998
2/1/2021,CO,397063
1/31/2021,CO,396179
1/30/2021,CO,395016
1/29/2021,CO,393421
1/28/2021,CO,391699
1/27/2021,CO,390258
1/26/2021,CO,388620
1/25/2021,CO,387462
1/24/2021,CO,386285
1/23/2021,CO,384966
1/22/2021,CO,383008
1/21/2021,CO,381210
1/20/2021,CO,379227
1/19/2021,CO,377856
1/18/2021,CO,376171
1/17/2021,CO,374981
1/16/2021,CO,373483
1/15/2021,CO,371458
1/14/2021,CO,369177
1/13/2021,CO,366774
1/12/2021,CO,364336
1/11/2021,CO,362825
1/10/2021,CO,361148
1/9/2021,CO,358947
1/8/2021,CO,356110
1/7/2021,CO,352923
1/6/2021,CO,349450
1/5/2021,CO,346893
1/4/2021,CO,343435
1/3/2021,CO,341250
1/2/2021,CO,339172
1/1/2021,CO,337161
12/31/2020,CO,334097
12/30/2020,CO,330859
12/29/2020,CO,328408
12/28/2020,CO,326668
12/27/2020,CO,325018
12/26/2020,CO,323619
12/25/2020,CO,322189
12/24/2020,CO,319530
12/23/2020,CO,316500
12/22/2020,CO,313552
12/21/2020,CO,311036
12/20/2020,CO,308890
12/19/2020,CO,306598
12/18/2020,CO,304107
12/17/2020,CO,300414
12/16/2020,CO,296716
12/15/2020,CO,293382
12/14/2020,CO,291104
12/13/2020,CO,288193
12/12/2020,CO,285634
12/11/2020,CO,281673
12/10/2020,CO,276995
12/9/2020,CO,272346
12/8/2020,CO,268589
12/7/2020,CO,264618
12/6/2020,CO,260581
12/5/2020,CO,257347
12/4/2020,CO,252222
12/3/2020,CO,247209
12/2/2020,CO,241172
12/1/2020,CO,237310
11/30/2020,CO,232905
11/29/2020,CO,228772
11/28/2020,CO,225283
11/27/2020,CO,220953
11/26/2020,CO,216683
11/25/2020,CO,210630
11/24/2020,CO,206439
11/23/2020,CO,202289
11/22/2020,CO,198600
11/21/2020,CO,194679
11/20/2020,CO,188566
11/19/2020,CO,182801
11/18/2020,CO,176694
11/17/2020,CO,172044
11/16/2020,CO,167713
11/15/2020,CO,163417
11/14/2020,CO,159234
11/13/2020,CO,154038
11/12/2020,CO,147599
11/11/2020,CO,142402
11/10/2020,CO,138427
11/9/2020,CO,134537
11/8/2020,CO,130984
11/7/2020,CO,127967
11/6/2020,CO,124469
