date,state,positive
3/7/2021,CT,285330
3/6/2021,CT,285330
3/5/2021,CT,285330
3/4/2021,CT,284500
3/3/2021,CT,283622
3/2/2021,CT,283128
3/1/2021,CT,282626
2/28/2021,CT,279946
2/27/2021,CT,279946
2/26/2021,CT,279946
2/25/2021,CT,279159
2/24/2021,CT,278184
2/23/2021,CT,276691
2/22/2021,CT,275334
2/21/2021,CT,273101
2/20/2021,CT,273101
2/19/2021,CT,273101
2/18/2021,CT,271903
2/17/2021,CT,271356
2/16/2021,CT,270822
2/15/2021,CT,270242
2/14/2021,CT,267337
2/13/2021,CT,267337
2/12/2021,CT,267337
2/11/2021,CT,266499
2/10/2021,CT,265496
2/9/2021,CT,264608
2/8/2021,CT,263739
2/7/2021,CT,259372
2/6/2021,CT,259372
2/5/2021,CT,259372
2/4/2021,CT,257941
2/3/2021,CT,257004
2/2/2021,CT,256522
2/1/2021,CT,253954
1/31/2021,CT,250023
1/30/2021,CT,250023
1/29/2021,CT,250023
1/28/2021,CT,248765
1/27/2021,CT,247339
1/26/2021,CT,244899
1/25/2021,CT,243632
1/24/2021,CT,237815
1/23/2021,CT,237815
1/22/2021,CT,237815
1/21/2021,CT,235796
1/20/2021,CT,234134
1/19/2021,CT,232219
1/18/2021,CT,230125
1/17/2021,CT,223422
1/16/2021,CT,223422
1/15/2021,CT,223422
1/14/2021,CT,221544
1/13/2021,CT,220576
1/12/2021,CT,217047
1/11/2021,CT,213358
1/10/2021,CT,205994
1/9/2021,CT,205994
1/8/2021,CT,205994
1/7/2021,CT,202758
1/6/2021,CT,199454
1/5/2021,CT,196968
1/4/2021,CT,194636
1/3/2021,CT,190120
1/2/2021,CT,190120
1/1/2021,CT,185708
12/31/2020,CT,185708
12/30/2020,CT,183663
12/29/2020,CT,181967
12/28/2020,CT,181200
12/27/2020,CT,172743
12/26/2020,CT,172743
12/25/2020,CT,172743
12/24/2020,CT,172743
12/23/2020,CT,170705
12/22/2020,CT,168960
12/21/2020,CT,167377
12/20/2020,CT,162782
12/19/2020,CT,162782
12/18/2020,CT,162782
12/17/2020,CT,160102
12/16/2020,CT,157781
12/15/2020,CT,155462
12/14/2020,CT,153992
12/13/2020,CT,146761
12/12/2020,CT,146761
12/11/2020,CT,146761
12/10/2020,CT,142979
12/9/2020,CT,140548
12/8/2020,CT,138258
12/7/2020,CT,135844
12/6/2020,CT,127715
12/5/2020,CT,127715
12/4/2020,CT,127715
12/3/2020,CT,126177
12/2/2020,CT,121426
12/1/2020,CT,118754
11/30/2020,CT,117295
11/29/2020,CT,112581
11/28/2020,CT,112581
11/27/2020,CT,112581
11/26/2020,CT,109152
11/25/2020,CT,109152
11/24/2020,CT,107280
11/23/2020,CT,106740
11/22/2020,CT,101469
11/21/2020,CT,101469
11/20/2020,CT,101469
11/19/2020,CT,99381
11/18/2020,CT,97028
11/17/2020,CT,94986
11/16/2020,CT,93284
11/15/2020,CT,88645
11/14/2020,CT,88645
11/13/2020,CT,88645
11/12/2020,CT,85899
11/11/2020,CT,84741
11/10/2020,CT,82987
11/9/2020,CT,81463
11/8/2020,CT,78125
11/7/2020,CT,78125
11/6/2020,CT,78125
11/5/2020,CT,77060
11/4/2020,CT,75373
11/3/2020,CT,73858
11/2/2020,CT,73858
11/1/2020,CT,71207
10/31/2020,CT,71207
10/30/2020,CT,71207
10/29/2020,CT,70446
10/28/2020,CT,69127
10/27/2020,CT,68637
10/26/2020,CT,68099
10/25/2020,CT,66052
10/24/2020,CT,66052
10/23/2020,CT,66052
10/22/2020,CT,65373
10/21/2020,CT,64871
10/20/2020,CT,64455
10/19/2020,CT,64021
10/18/2020,CT,62830
10/17/2020,CT,62830
10/16/2020,CT,62830
10/15/2020,CT,62028
