date,positive
3/7/2020,0
3/6/2020,0
3/11/2020,1
3/10/2020,1
3/9/2020,1
3/8/2020,1
3/12/2020,4
3/14/2020,6
3/13/2020,6
3/15/2020,8
3/16/2020,11
3/17/2020,15
3/18/2020,16
3/19/2020,34
3/20/2020,44
3/21/2020,55
3/22/2020,64
3/23/2020,82
3/24/2020,98
3/25/2020,126
3/26/2020,168
3/27/2020,202
3/28/2020,261
3/29/2020,319
3/30/2020,368
3/31/2020,428
4/1/2020,482
4/2/2020,552
4/3/2020,620
4/4/2020,698
4/5/2020,747
4/6/2020,845
4/7/2020,900
4/8/2020,1046
4/9/2020,1106
4/10/2020,1166
4/11/2020,1268
4/12/2020,1337
4/13/2020,1376
4/14/2020,1426
4/15/2020,1494
4/16/2020,1588
4/17/2020,1705
4/18/2020,1790
4/19/2020,1849
4/20/2020,1986
4/21/2020,2025
4/22/2020,2211
4/23/2020,2482
4/24/2020,2777
4/25/2020,3056
4/26/2020,3174
4/27/2020,3328
4/28/2020,3491
4/29/2020,3738
4/30/2020,4238
5/1/2020,4449
5/2/2020,4746
5/3/2020,5030
5/4/2020,5245
5/5/2020,5458
5/6/2020,5734
5/7/2020,6144
5/8/2020,6501
5/9/2020,6751
5/10/2020,6948
5/12/2020,7116
5/11/2020,7116
5/14/2020,7468
5/13/2020,7468
5/17/2020,7886
5/16/2020,7886
5/15/2020,7886
5/19/2020,8340
5/18/2020,8340
5/21/2020,8539
5/20/2020,8539
5/24/2020,8958
5/23/2020,8958
5/22/2020,8958
5/26/2020,9218
5/25/2020,9218
5/28/2020,9337
5/27/2020,9337
5/31/2020,9719
5/30/2020,9719
5/29/2020,9719
6/2/2020,10011
6/1/2020,10011
6/4/2020,10170
6/3/2020,10170
6/7/2020,10393
6/6/2020,10393
6/5/2020,10393
6/9/2020,10650
6/8/2020,10650
6/11/2020,10812
6/10/2020,10812
6/14/2020,11047
6/13/2020,11047
6/12/2020,11047
6/16/2020,11419
6/15/2020,11419
6/18/2020,11681
6/17/2020,11681
6/21/2020,12059
6/20/2020,12059
6/19/2020,12059
6/23/2020,12465
6/22/2020,12465
6/25/2020,12970
6/24/2020,12970
6/28/2020,13538
6/27/2020,13538
6/26/2020,13538
6/30/2020,14443
6/29/2020,14443
7/2/2020,14990
7/1/2020,14990
7/5/2020,15919
7/4/2020,15919
7/3/2020,15919
7/7/2020,16901
7/6/2020,16901
7/9/2020,17618
7/8/2020,17618
7/12/2020,18611
7/11/2020,18611
7/10/2020,18611
7/14/2020,20058
7/13/2020,20058
7/16/2020,20933
7/15/2020,20933
7/19/2020,21965
7/18/2020,21965
7/17/2020,21965
7/21/2020,23334
7/20/2020,23334
7/23/2020,24104
7/22/2020,24104
7/26/2020,25109
7/25/2020,25109
7/24/2020,25109
7/28/2020,26172
7/27/2020,26172
7/30/2020,26870
7/29/2020,26870
8/2/2020,27812
8/1/2020,27812
7/31/2020,27812
8/4/2020,28876
8/3/2020,28876
8/6/2020,29717
8/5/2020,29717
8/9/2020,30638
8/8/2020,30638
8/7/2020,30638
8/11/2020,31730
8/10/2020,31730
8/13/2020,32547
8/12/2020,32547
8/16/2020,33885
8/15/2020,33885
8/14/2020,33885
8/18/2020,35167
8/17/2020,35167
8/20/2020,35890
8/19/2020,35890
8/23/2020,36856
8/22/2020,36856
8/21/2020,36856
8/25/2020,38401
8/24/2020,38401
8/27/2020,39937
8/26/2020,39937
8/30/2020,41048
8/29/2020,41048
8/28/2020,41048
9/1/2020,42612
8/31/2020,42612
9/3/2020,43940
9/2/2020,43940
9/6/2020,45220
9/5/2020,45220
9/4/2020,45220
9/8/2020,46914
9/7/2020,46914
9/10/2020,47410
9/9/2020,47410
9/13/2020,48386
9/12/2020,48386
9/11/2020,48386
9/15/2020,49899
9/14/2020,49899
9/17/2020,50870
9/16/2020,50870
9/20/2020,52285
9/19/2020,52285
9/18/2020,52285
9/22/2020,53959
9/21/2020,53959
9/24/2020,55226
9/23/2020,55226
9/27/2020,56592
9/26/2020,56592
9/25/2020,56592
9/29/2020,58629
9/28/2020,58629
10/1/2020,59749
9/30/2020,59749
10/4/2020,61111
10/3/2020,61111
10/2/2020,61111
10/6/2020,62708
10/5/2020,62708
10/8/2020,63952
10/7/2020,63952
10/11/2020,65807
10/10/2020,65807
10/9/2020,65807
10/13/2020,67862
10/12/2020,67862
10/15/2020,69155
10/14/2020,69155
10/18/2020,70855
10/17/2020,70855
10/16/2020,70855
10/20/2020,72968
10/19/2020,72968
10/22/2020,74456
10/21/2020,74456
10/25/2020,76230
10/24/2020,76230
10/23/2020,76230
10/27/2020,78676
10/26/2020,78676
10/29/2020,82045
10/28/2020,82045
11/1/2020,85181
10/31/2020,85181
10/30/2020,85181
11/3/2020,89227
11/2/2020,89227
11/5/2020,92215
11/4/2020,92215
11/8/2020,97633
11/7/2020,97633
11/6/2020,97633
