date,state,positive
3/7/2021,KS,295861
3/6/2021,KS,295861
3/5/2021,KS,295861
3/4/2021,KS,295109
3/3/2021,KS,295109
3/2/2021,KS,294302
3/1/2021,KS,294302
2/28/2021,KS,293663
2/27/2021,KS,293663
2/26/2021,KS,293663
2/25/2021,KS,292837
2/24/2021,KS,292837
2/23/2021,KS,291715
2/22/2021,KS,291715
2/21/2021,KS,290832
2/20/2021,KS,290832
2/19/2021,KS,290832
2/18/2021,KS,288717
2/17/2021,KS,288717
2/16/2021,KS,287450
2/15/2021,KS,287450
2/14/2021,KS,286102
2/13/2021,KS,286102
2/12/2021,KS,286102
2/11/2021,KS,284894
2/10/2021,KS,284894
2/9/2021,KS,282960
2/8/2021,KS,282960
2/7/2021,KS,281562
2/6/2021,KS,281562
2/5/2021,KS,281562
2/4/2021,KS,278915
2/3/2021,KS,278915
2/2/2021,KS,276668
2/1/2021,KS,276668
1/31/2021,KS,274685
1/30/2021,KS,274685
1/29/2021,KS,274685
1/28/2021,KS,272517
1/27/2021,KS,272517
1/26/2021,KS,269255
1/25/2021,KS,269255
1/24/2021,KS,266653
1/23/2021,KS,266653
1/22/2021,KS,266653
1/21/2021,KS,263412
1/20/2021,KS,263412
1/19/2021,KS,259822
1/18/2021,KS,259822
1/17/2021,KS,256134
1/16/2021,KS,256134
1/15/2021,KS,256134
1/14/2021,KS,252041
1/13/2021,KS,252041
1/12/2021,KS,247502
1/11/2021,KS,247502
1/10/2021,KS,242322
1/9/2021,KS,242322
1/8/2021,KS,242322
1/7/2021,KS,236818
1/6/2021,KS,236818
1/5/2021,KS,231317
1/4/2021,KS,231317
1/3/2021,KS,227745
1/2/2021,KS,227745
1/1/2021,KS,227745
12/31/2020,KS,222433
12/30/2020,KS,222433
12/29/2020,KS,216062
12/28/2020,KS,216062
12/27/2020,KS,209689
12/26/2020,KS,209689
12/25/2020,KS,209689
12/24/2020,KS,209689
12/23/2020,KS,209689
12/22/2020,KS,204600
12/21/2020,KS,204600
12/20/2020,KS,200426
12/19/2020,KS,200426
12/18/2020,KS,200426
12/17/2020,KS,194569
12/16/2020,KS,194569
12/15/2020,KS,190018
12/14/2020,KS,190018
12/13/2020,KS,185294
12/12/2020,KS,185294
12/11/2020,KS,185294
12/10/2020,KS,179803
12/9/2020,KS,179803
12/8/2020,KS,174025
12/7/2020,KS,174025
12/6/2020,KS,168295
12/5/2020,KS,168295
12/4/2020,KS,168295
12/3/2020,KS,162061
12/2/2020,KS,162061
12/1/2020,KS,157446
11/30/2020,KS,157446
11/29/2020,KS,153021
11/28/2020,KS,153021
11/27/2020,KS,153021
11/26/2020,KS,147797
11/25/2020,KS,147797
11/24/2020,KS,142059
11/23/2020,KS,142059
11/22/2020,KS,134533
11/21/2020,KS,134533
11/20/2020,KS,134533
11/19/2020,KS,128594
11/18/2020,KS,128594
11/17/2020,KS,122741
11/16/2020,KS,122741
11/15/2020,KS,115507
11/14/2020,KS,115507
11/13/2020,KS,115507
11/12/2020,KS,109225
11/11/2020,KS,109225
11/10/2020,KS,103553
11/9/2020,KS,103553
11/8/2020,KS,97633
11/7/2020,KS,97633
11/6/2020,KS,97633
11/5/2020,KS,92215
11/4/2020,KS,92215
11/3/2020,KS,89227
11/2/2020,KS,89227
11/1/2020,KS,85181
10/31/2020,KS,85181
10/30/2020,KS,85181
10/29/2020,KS,82045
10/28/2020,KS,82045
10/27/2020,KS,78676
10/26/2020,KS,78676
10/25/2020,KS,76230
10/24/2020,KS,76230
10/23/2020,KS,76230
10/22/2020,KS,74456
10/21/2020,KS,74456
10/20/2020,KS,72968
10/19/2020,KS,72968
10/18/2020,KS,70855
10/17/2020,KS,70855
10/16/2020,KS,70855
10/15/2020,KS,69155
10/14/2020,KS,69155
10/13/2020,KS,67862
10/12/2020,KS,67862
10/11/2020,KS,65807
10/10/2020,KS,65807
10/9/2020,KS,65807
10/8/2020,KS,63952
10/7/2020,KS,63952
10/6/2020,KS,62708
10/5/2020,KS,62708
10/4/2020,KS,61111
10/3/2020,KS,61111
10/2/2020,KS,61111
10/1/2020,KS,59749
9/30/2020,KS,59749
9/29/2020,KS,58629
9/28/2020,KS,58629
9/27/2020,KS,56592
9/26/2020,KS,56592
9/25/2020,KS,56592
9/24/2020,KS,55226
9/23/2020,KS,55226
9/22/2020,KS,53959
9/21/2020,KS,53959
9/20/2020,KS,52285
9/19/2020,KS,52285
9/18/2020,KS,52285
9/17/2020,KS,50870
9/16/2020,KS,50870
9/15/2020,KS,49899
9/14/2020,KS,49899
9/13/2020,KS,48386
9/12/2020,KS,48386
9/11/2020,KS,48386
9/10/2020,KS,47410
9/9/2020,KS,47410
9/8/2020,KS,46914
9/7/2020,KS,46914
9/6/2020,KS,45220
9/5/2020,KS,45220
9/4/2020,KS,45220
9/3/2020,KS,43940
9/2/2020,KS,43940
9/1/2020,KS,42612
8/31/2020,KS,42612
8/30/2020,KS,41048
8/29/2020,KS,41048
8/28/2020,KS,41048
8/27/2020,KS,39937
8/26/2020,KS,39937
8/25/2020,KS,38401
8/24/2020,KS,38401
8/23/2020,KS,36856
8/22/2020,KS,36856
8/21/2020,KS,36856
8/20/2020,KS,35890
8/19/2020,KS,35890
8/18/2020,KS,35167
8/17/2020,KS,35167
8/16/2020,KS,33885
8/15/2020,KS,33885
8/14/2020,KS,33885
8/13/2020,KS,32547
8/12/2020,KS,32547
8/11/2020,KS,31730
8/10/2020,KS,31730
8/9/2020,KS,30638
8/8/2020,KS,30638
8/7/2020,KS,30638
8/6/2020,KS,29717
8/5/2020,KS,29717
8/4/2020,KS,28876
8/3/2020,KS,28876
8/2/2020,KS,27812
8/1/2020,KS,27812
7/31/2020,KS,27812
7/30/2020,KS,26870
7/29/2020,KS,26870
7/28/2020,KS,26172
7/27/2020,KS,26172
7/26/2020,KS,25109
7/25/2020,KS,25109
7/24/2020,KS,25109
7/23/2020,KS,24104
7/22/2020,KS,24104
7/21/2020,KS,23334
7/20/2020,KS,23334
7/19/2020,KS,21965
7/18/2020,KS,21965
7/17/2020,KS,21965
7/16/2020,KS,20933
7/15/2020,KS,20933
7/14/2020,KS,20058
7/13/2020,KS,20058
7/12/2020,KS,18611
7/11/2020,KS,18611
7/10/2020,KS,18611
7/9/2020,KS,17618
7/8/2020,KS,17618
7/7/2020,KS,16901
7/6/2020,KS,16901
7/5/2020,KS,15919
7/4/2020,KS,15919
7/3/2020,KS,15919
7/2/2020,KS,14990
7/1/2020,KS,14990
6/30/2020,KS,14443
6/29/2020,KS,14443
6/28/2020,KS,13538
6/27/2020,KS,13538
6/26/2020,KS,13538
6/25/2020,KS,12970
6/24/2020,KS,12970
6/23/2020,KS,12465
6/22/2020,KS,12465
6/21/2020,KS,12059
6/20/2020,KS,12059
6/19/2020,KS,12059
6/18/2020,KS,11681
6/17/2020,KS,11681
6/16/2020,KS,11419
6/15/2020,KS,11419
6/14/2020,KS,11047
6/13/2020,KS,11047
6/12/2020,KS,11047
6/11/2020,KS,10812
6/10/2020,KS,10812
6/9/2020,KS,10650
6/8/2020,KS,10650
6/7/2020,KS,10393
6/6/2020,KS,10393
6/5/2020,KS,10393
6/4/2020,KS,10170
6/3/2020,KS,10170
6/2/2020,KS,10011
6/1/2020,KS,10011
5/31/2020,KS,9719
5/30/2020,KS,9719
5/29/2020,KS,9719
5/28/2020,KS,9337
5/27/2020,KS,9337
5/26/2020,KS,9218
5/25/2020,KS,9218
5/24/2020,KS,8958
5/23/2020,KS,8958
5/22/2020,KS,8958
5/21/2020,KS,8539
5/20/2020,KS,8539
5/19/2020,KS,8340
5/18/2020,KS,8340
5/17/2020,KS,7886
5/16/2020,KS,7886
5/15/2020,KS,7886
5/14/2020,KS,7468
5/13/2020,KS,7468
5/12/2020,KS,7116
5/11/2020,KS,7116
5/10/2020,KS,6948
5/9/2020,KS,6751
5/8/2020,KS,6501
5/7/2020,KS,6144
5/6/2020,KS,5734
5/5/2020,KS,5458
5/4/2020,KS,5245
5/3/2020,KS,5030
5/2/2020,KS,4746
5/1/2020,KS,4449
4/30/2020,KS,4238
4/29/2020,KS,3738
4/28/2020,KS,3491
4/27/2020,KS,3328
4/26/2020,KS,3174
4/25/2020,KS,3056
4/24/2020,KS,2777
4/23/2020,KS,2482
4/22/2020,KS,2211
4/21/2020,KS,2025
4/20/2020,KS,1986
4/19/2020,KS,1849
4/18/2020,KS,1790
4/17/2020,KS,1705
4/16/2020,KS,1588
4/15/2020,KS,1494
4/14/2020,KS,1426
4/13/2020,KS,1376
4/12/2020,KS,1337
4/11/2020,KS,1268
4/10/2020,KS,1166
4/9/2020,KS,1106
4/8/2020,KS,1046
4/7/2020,KS,900
4/6/2020,KS,845
4/5/2020,KS,747
4/4/2020,KS,698
4/3/2020,KS,620
4/2/2020,KS,552
4/1/2020,KS,482
3/31/2020,KS,428
3/30/2020,KS,368
3/29/2020,KS,319
3/28/2020,KS,261
3/27/2020,KS,202
3/26/2020,KS,168
3/25/2020,KS,126
3/24/2020,KS,98
3/23/2020,KS,82
3/22/2020,KS,64
3/21/2020,KS,55
3/20/2020,KS,44
3/19/2020,KS,34
3/18/2020,KS,16
3/17/2020,KS,15
3/16/2020,KS,11
3/15/2020,KS,8
3/14/2020,KS,6
3/13/2020,KS,6
3/12/2020,KS,4
3/11/2020,KS,1
3/10/2020,KS,1
3/9/2020,KS,1
3/8/2020,KS,1
3/7/2020,KS,0
3/6/2020,KS,0
