date,positive
3/2/2020,0
3/4/2020,1
3/3/2020,1
3/5/2020,3
3/6/2020,25
3/7/2020,36
3/8/2020,60
3/9/2020,88
3/10/2020,151
3/11/2020,195
3/12/2020,251
3/13/2020,353
3/14/2020,517
3/15/2020,648
3/16/2020,942
3/17/2020,1374
3/18/2020,2383
3/19/2020,4152
3/20/2020,7102
3/21/2020,10356
3/22/2020,15168
3/23/2020,20875
3/24/2020,25665
3/25/2020,30810
3/26/2020,37258
3/27/2020,44637
3/28/2020,52318
3/29/2020,59513
3/30/2020,66497
3/31/2020,75795
4/1/2020,83712
4/2/2020,92381
4/3/2020,102863
4/4/2020,113704
4/5/2020,122031
4/6/2020,130689
4/7/2020,138863
4/8/2020,149316
4/9/2020,159937
4/10/2020,170512
4/11/2020,180458
4/12/2020,188694
4/13/2020,195031
4/14/2020,202208
4/15/2020,213779
4/16/2020,222284
4/17/2020,229642
4/18/2020,236732
4/19/2020,242786
4/20/2020,247512
4/21/2020,251690
4/22/2020,257216
4/23/2020,263460
4/24/2020,271590
4/25/2020,282143
4/26/2020,288045
4/27/2020,291996
4/28/2020,295106
4/29/2020,299691
4/30/2020,304372
5/1/2020,308314
5/2/2020,312977
5/3/2020,316415
5/4/2020,318953
5/5/2020,321192
5/6/2020,323978
5/7/2020,327469
5/8/2020,330407
5/9/2020,333122
5/10/2020,335395
5/11/2020,337055
5/12/2020,338485
5/13/2020,340661
5/14/2020,343051
5/15/2020,345813
5/16/2020,348232
5/17/2020,350121
5/18/2020,351371
5/19/2020,352845
5/20/2020,354370
5/21/2020,356458
5/22/2020,358154
5/23/2020,359926
5/24/2020,361515
5/25/2020,362764
5/26/2020,363836
5/27/2020,364965
5/28/2020,366733
5/29/2020,368284
5/30/2020,369660
5/31/2020,370770
6/1/2020,371711
6/2/2020,373040
6/3/2020,374085
6/4/2020,375133
6/5/2020,376208
6/6/2020,377316
6/7/2020,378097
6/8/2020,378799
6/9/2020,379482
6/10/2020,380156
6/11/2020,380892
6/12/2020,381714
6/13/2020,382630
6/14/2020,383324
6/15/2020,383944
6/16/2020,384575
6/17/2020,385142
6/18/2020,385760
6/19/2020,386556
6/20/2020,387272
6/21/2020,387936
6/22/2020,388488
6/23/2020,389085
6/24/2020,389666
6/25/2020,390415
6/26/2020,391220
6/27/2020,391923
6/28/2020,392539
6/29/2020,392930
6/30/2020,393454
7/1/2020,394079
7/2/2020,394954
7/3/2020,395872
7/4/2020,396598
7/5/2020,397131
7/6/2020,397649
7/7/2020,398237
7/8/2020,398929
7/9/2020,399513
7/10/2020,400299
7/11/2020,401029
7/12/2020,401706
7/13/2020,402263
7/14/2020,403175
7/15/2020,404006
7/16/2020,404775
7/17/2020,405551
7/18/2020,406305
7/19/2020,406807
7/20/2020,407326
7/21/2020,408181
7/22/2020,408886
7/23/2020,409697
7/24/2020,410450
7/25/2020,411200
7/26/2020,411736
7/27/2020,412344
7/28/2020,412878
7/29/2020,413593
7/30/2020,414370
7/31/2020,415014
8/1/2020,415767
8/2/2020,416298
8/3/2020,416843
8/4/2020,417589
8/5/2020,418225
8/6/2020,418928
8/7/2020,419642
8/8/2020,420345
8/9/2020,420860
8/10/2020,421336
8/11/2020,422003
8/12/2020,422703
8/13/2020,423440
8/14/2020,424167
8/15/2020,424901
8/16/2020,425508
8/17/2020,425916
8/18/2020,426571
8/19/2020,427202
