date,state,positive
3/7/2021,NY,1681169
3/6/2021,NY,1674380
3/5/2021,NY,1666733
3/4/2021,NY,1657777
3/3/2021,NY,1650184
3/2/2021,NY,1642480
3/1/2021,NY,1636680
2/28/2021,NY,1630445
2/27/2021,NY,1622865
2/26/2021,NY,1614724
2/25/2021,NY,1606520
2/24/2021,NY,1597774
2/23/2021,NY,1591585
2/22/2021,NY,1584931
2/21/2021,NY,1578785
2/20/2021,NY,1572175
2/19/2021,NY,1564483
2/18/2021,NY,1555773
2/17/2021,NY,1548979
2/16/2021,NY,1542887
2/15/2021,NY,1536134
2/14/2021,NY,1529769
2/13/2021,NY,1521453
2/12/2021,NY,1512690
2/11/2021,NY,1504286
2/10/2021,NY,1494187
2/9/2021,NY,1487086
2/8/2021,NY,1479220
2/7/2021,NY,1470772
2/6/2021,NY,1460747
2/5/2021,NY,1449495
2/4/2021,NY,1440718
2/3/2021,NY,1433304
2/2/2021,NY,1427379
2/1/2021,NY,1419164
1/31/2021,NY,1410656
1/30/2021,NY,1399863
1/29/2021,NY,1387059
1/28/2021,NY,1374480
1/27/2021,NY,1361082
1/26/2021,NY,1350054
1/25/2021,NY,1338990
1/24/2021,NY,1326987
1/23/2021,NY,1314267
1/22/2021,NY,1300481
1/21/2021,NY,1285337
1/20/2021,NY,1271451
1/19/2021,NY,1258087
1/18/2021,NY,1245575
1/17/2021,NY,1233390
1/16/2021,NY,1219548
1/15/2021,NY,1203550
1/14/2021,NY,1183608
1/13/2021,NY,1169947
1/12/2021,NY,1155370
1/11/2021,NY,1140156
1/10/2021,NY,1126442
1/9/2021,NY,1111087
1/8/2021,NY,1094144
1/7/2021,NY,1075312
1/6/2021,NY,1057676
1/5/2021,NY,1041028
1/4/2021,NY,1028362
1/3/2021,NY,1017153
1/2/2021,NY,1005785
1/1/2021,NY,990711
12/31/2020,NY,974214
12/30/2020,NY,957412
12/29/2020,NY,943990
12/28/2020,NY,932552
12/27/2020,NY,922145
12/26/2020,NY,914522
12/25/2020,NY,903716
12/24/2020,NY,891270
12/23/2020,NY,878702
12/22/2020,NY,866765
12/21/2020,NY,857049
12/20/2020,NY,848042
12/19/2020,NY,838085
12/18/2020,NY,828166
12/17/2020,NY,815469
12/16/2020,NY,804555
12/15/2020,NY,794557
12/14/2020,NY,784204
12/13/2020,NY,775160
12/12/2020,NY,764966
12/11/2020,NY,753837
12/10/2020,NY,743242
12/9/2020,NY,733064
12/8/2020,NY,722464
12/7/2020,NY,713129
12/6/2020,NY,705827
12/5/2020,NY,696125
12/4/2020,NY,685364
12/3/2020,NY,674093
12/2/2020,NY,664238
