date,state,positive
3/7/2021,SC,525865
3/6/2021,SC,524457
3/5/2021,SC,523258
3/4/2021,SC,521563
3/3/2021,SC,519996
3/2/2021,SC,518823
3/1/2021,SC,517976
2/28/2021,SC,516823
2/27/2021,SC,515072
2/26/2021,SC,513295
2/25/2021,SC,511546
2/24/2021,SC,509044
2/23/2021,SC,506912
2/22/2021,SC,505589
2/21/2021,SC,504149
2/20/2021,SC,501277
2/19/2021,SC,497937
2/18/2021,SC,495044
2/17/2021,SC,492369
2/16/2021,SC,490453
2/15/2021,SC,489018
2/14/2021,SC,487293
2/13/2021,SC,483140
2/12/2021,SC,480157
2/11/2021,SC,476287
2/10/2021,SC,473140
2/9/2021,SC,470311
2/8/2021,SC,468403
2/7/2021,SC,466373
2/6/2021,SC,462981
2/5/2021,SC,459974
2/4/2021,SC,453878
2/3/2021,SC,450794
2/2/2021,SC,447904
2/1/2021,SC,445916
1/31/2021,SC,443386
1/30/2021,SC,439785
1/29/2021,SC,435633
1/28/2021,SC,431169
1/27/2021,SC,427231
1/26/2021,SC,423667
1/25/2021,SC,421417
1/24/2021,SC,418325
1/23/2021,SC,413789
1/22/2021,SC,409188
1/21/2021,SC,404492
1/20/2021,SC,399843
1/19/2021,SC,394318
1/18/2021,SC,391464
1/17/2021,SC,388184
1/16/2021,SC,382422
1/15/2021,SC,375967
1/14/2021,SC,371180
1/13/2021,SC,365378
1/12/2021,SC,359357
1/11/2021,SC,357654
1/10/2021,SC,354525
1/9/2021,SC,350084
1/8/2021,SC,344176
1/7/2021,SC,338112
1/6/2021,SC,333235
1/5/2021,SC,328073
1/4/2021,SC,325472
1/3/2021,SC,321669
1/2/2021,SC,312718
1/1/2021,SC,307507
12/31/2020,SC,307507
12/30/2020,SC,303475
12/29/2020,SC,300602
12/28/2020,SC,298050
12/27/2020,SC,296179
12/26/2020,SC,288892
12/25/2020,SC,285028
12/24/2020,SC,285028
12/23/2020,SC,282230
12/22/2020,SC,278055
12/21/2020,SC,275733
12/20/2020,SC,273406
12/19/2020,SC,270537
12/18/2020,SC,267076
12/17/2020,SC,262774
12/16/2020,SC,260119
12/15/2020,SC,257320
12/14/2020,SC,254776
12/13/2020,SC,252206
12/12/2020,SC,248798
12/11/2020,SC,245226
12/10/2020,SC,241686
12/9/2020,SC,239444
12/8/2020,SC,236954
12/7/2020,SC,234652
12/6/2020,SC,232099
12/5/2020,SC,229235
12/4/2020,SC,226013
12/3/2020,SC,223063
12/2/2020,SC,220835
12/1/2020,SC,218912
11/30/2020,SC,217487
11/29/2020,SC,216129
11/28/2020,SC,214911
11/27/2020,SC,213120
11/26/2020,SC,210905
11/25/2020,SC,210905
11/24/2020,SC,209230
11/23/2020,SC,207552
11/22/2020,SC,206295
11/21/2020,SC,205018
11/20/2020,SC,203161
11/19/2020,SC,201160
11/18/2020,SC,199447
11/17/2020,SC,197900
11/16/2020,SC,196617
11/15/2020,SC,195507
11/14/2020,SC,194014
11/13/2020,SC,192101
11/12/2020,SC,190490
11/11/2020,SC,188995
11/10/2020,SC,187738
11/9/2020,SC,186391
11/8/2020,SC,185688
11/7/2020,SC,184742
11/6/2020,SC,182872
