date,state,positive
3/7/2021,TX,2686818
3/6/2021,TX,2683865
3/5/2021,TX,2678295
3/4/2021,TX,2671442
3/3/2021,TX,2663414
3/2/2021,TX,2655592
3/1/2021,TX,2647845
2/28/2021,TX,2644024
2/27/2021,TX,2640209
2/26/2021,TX,2629136
2/25/2021,TX,2621181
2/24/2021,TX,2613792
2/23/2021,TX,2606275
2/22/2021,TX,2594466
2/21/2021,TX,2588101
2/20/2021,TX,2583617
2/19/2021,TX,2577131
2/18/2021,TX,2574194
2/17/2021,TX,2571063
2/16/2021,TX,2567297
2/15/2021,TX,2563949
2/14/2021,TX,2560060
2/13/2021,TX,2553127
2/12/2021,TX,2541845
2/11/2021,TX,2529343
2/10/2021,TX,2517453
2/9/2021,TX,2504556
2/8/2021,TX,2491227
2/7/2021,TX,2483742
2/6/2021,TX,2476783
2/5/2021,TX,2462886
2/4/2021,TX,2448391
2/3/2021,TX,2433110
2/2/2021,TX,2415490
2/1/2021,TX,2392443
1/31/2021,TX,2360632
1/30/2021,TX,2349262
1/29/2021,TX,2330028
1/28/2021,TX,2310952
1/27/2021,TX,2292732
1/26/2021,TX,2273119
1/25/2021,TX,2246845
1/24/2021,TX,2240526
1/23/2021,TX,2228961
1/22/2021,TX,2211289
1/21/2021,TX,2188643
1/20/2021,TX,2166283
1/19/2021,TX,2135028
1/18/2021,TX,2125552
1/17/2021,TX,2113962
1/16/2021,TX,2097560
1/15/2021,TX,2072903
1/14/2021,TX,2045699
1/13/2021,TX,2022635
1/12/2021,TX,1995292
1/11/2021,TX,1969240
1/10/2021,TX,1954406
1/9/2021,TX,1938551
1/8/2021,TX,1915261
1/7/2021,TX,1891741
1/6/2021,TX,1867163
1/5/2021,TX,1843153
1/4/2021,TX,1811523
1/3/2021,TX,1793341
1/2/2021,TX,1777246
1/1/2021,TX,1772483
12/31/2020,TX,1756172
12/30/2020,TX,1737447
12/29/2020,TX,1715978
12/28/2020,TX,1683426
12/27/2020,TX,1668597
12/26/2020,TX,1660551
12/25/2020,TX,1657857
12/24/2020,TX,1653522
12/23/2020,TX,1636458
12/22/2020,TX,1613095
12/21/2020,TX,1591948
12/20/2020,TX,1581668
12/19/2020,TX,1573888
12/18/2020,TX,1555981
12/17/2020,TX,1539189
12/16/2020,TX,1519340
12/15/2020,TX,1500538
12/14/2020,TX,1481612
12/13/2020,TX,1472711
12/12/2020,TX,1464362
12/11/2020,TX,1448002
12/10/2020,TX,1433551
12/9/2020,TX,1418252
12/8/2020,TX,1404646
12/7/2020,TX,1384804
12/6/2020,TX,1375313
12/5/2020,TX,1364933
12/4/2020,TX,1350542
12/3/2020,TX,1333746
12/2/2020,TX,1316194
12/1/2020,TX,1296972
11/30/2020,TX,1278432
11/29/2020,TX,1266707
11/28/2020,TX,1259657
11/27/2020,TX,1255332
11/26/2020,TX,1251345
11/25/2020,TX,1236648
11/24/2020,TX,1217837
11/23/2020,TX,1201257
11/22/2020,TX,1193616
11/21/2020,TX,1183847
11/20/2020,TX,1168925
11/19/2020,TX,1155130
11/18/2020,TX,1140861
11/17/2020,TX,1129874
11/16/2020,TX,1116230
11/15/2020,TX,1108402
11/14/2020,TX,1100479
11/13/2020,TX,1089078
11/12/2020,TX,1075654
11/11/2020,TX,1065065
11/10/2020,TX,1051899
11/9/2020,TX,1038964
11/8/2020,TX,1034115
11/7/2020,TX,1027237
11/6/2020,TX,1017677
11/5/2020,TX,1008438
11/4/2020,TX,998267
11/3/2020,TX,988450
11/2/2020,TX,977785
11/1/2020,TX,972330
10/31/2020,TX,900596
10/30/2020,TX,893451
10/29/2020,TX,886820
10/28/2020,TX,879994
10/27/2020,TX,874367
10/26/2020,TX,867075
10/25/2020,TX,862375
10/24/2020,TX,858071
10/23/2020,TX,851572
10/22/2020,TX,845100
10/21/2020,TX,838809
10/20/2020,TX,833557
10/19/2020,TX,825673
10/18/2020,TX,823779
10/17/2020,TX,820563
10/16/2020,TX,815678
10/15/2020,TX,809808
10/14/2020,TX,805082
10/13/2020,TX,800256
10/12/2020,TX,795126
10/11/2020,TX,792478
10/10/2020,TX,790060
10/9/2020,TX,785830
10/8/2020,TX,781794
10/7/2020,TX,777556
10/6/2020,TX,773435
10/5/2020,TX,769303
10/4/2020,TX,765894
10/3/2020,TX,763010
10/2/2020,TX,756004
10/1/2020,TX,752501
9/30/2020,TX,748967
9/29/2020,TX,743284
9/28/2020,TX,739222
9/27/2020,TX,735132
9/26/2020,TX,733438
9/25/2020,TX,728552
9/24/2020,TX,723919
9/23/2020,TX,719599
9/22/2020,TX,716207
9/21/2020,TX,698387
9/20/2020,TX,688534
9/19/2020,TX,686068
9/18/2020,TX,682241
9/17/2020,TX,678819
9/16/2020,TX,674772
9/15/2020,TX,668746
9/14/2020,TX,663404
9/13/2020,TX,659434
9/12/2020,TX,657589
9/11/2020,TX,653356
9/10/2020,TX,649809
9/9/2020,TX,645791
9/8/2020,TX,641791
9/7/2020,TX,640370
9/6/2020,TX,638310
9/5/2020,TX,635315
9/4/2020,TX,630829
9/3/2020,TX,625347
9/2/2020,TX,621667
9/1/2020,TX,617333
8/31/2020,TX,612969
8/30/2020,TX,610354
8/29/2020,TX,606530
8/28/2020,TX,601768
8/27/2020,TX,597737
8/26/2020,TX,592137
8/25/2020,TX,586730
8/24/2020,TX,580384
8/23/2020,TX,577537
8/22/2020,TX,573139
8/21/2020,TX,567580
8/20/2020,TX,562559
8/19/2020,TX,557256
8/18/2020,TX,550232
8/17/2020,TX,542950
8/16/2020,TX,535042
8/15/2020,TX,528838
8/14/2020,TX,520593
8/13/2020,TX,513575
8/12/2020,TX,506820
8/11/2020,TX,500620
8/10/2020,TX,490817
8/9/2020,TX,486362
8/8/2020,TX,481483
8/7/2020,TX,474524
8/6/2020,TX,467485
8/5/2020,TX,459887
8/4/2020,TX,451181
8/3/2020,TX,442014
8/2/2020,TX,436711
8/1/2020,TX,430485
7/31/2020,TX,420946
7/30/2020,TX,412107
7/29/2020,TX,403307
7/28/2020,TX,394265
7/27/2020,TX,385923
7/26/2020,TX,381656
7/25/2020,TX,375846
7/24/2020,TX,369826
7/23/2020,TX,361125
7/22/2020,TX,351618
7/21/2020,TX,341739
7/20/2020,TX,332434
7/19/2020,TX,325030
7/18/2020,TX,317730
7/17/2020,TX,307572
7/16/2020,TX,292656
7/15/2020,TX,282365
7/14/2020,TX,271574
7/13/2020,TX,264313
7/12/2020,TX,258658
7/11/2020,TX,250462
7/10/2020,TX,240111
7/9/2020,TX,230346
7/8/2020,TX,220564
7/7/2020,TX,210585
7/6/2020,TX,200557
7/5/2020,TX,195239
7/4/2020,TX,191790
7/3/2020,TX,183532
7/2/2020,TX,175977
7/1/2020,TX,168062
6/30/2020,TX,159986
6/29/2020,TX,153011
6/28/2020,TX,148723
6/27/2020,TX,143366
6/26/2020,TX,137624
6/25/2020,TX,131917
6/24/2020,TX,125921
6/23/2020,TX,120370
6/22/2020,TX,114881
6/21/2020,TX,111601
6/20/2020,TX,107735
6/19/2020,TX,103305
6/18/2020,TX,99851
6/17/2020,TX,96335
6/16/2020,TX,93206
6/15/2020,TX,89108
6/14/2020,TX,87854
6/13/2020,TX,86011
6/12/2020,TX,83680
6/11/2020,TX,81583
6/10/2020,TX,79757
6/9/2020,TX,77253
6/8/2020,TX,75616
6/7/2020,TX,74978
6/6/2020,TX,73553
6/5/2020,TX,71613
6/4/2020,TX,69920
6/3/2020,TX,68271
6/2/2020,TX,66568
6/1/2020,TX,64880
5/31/2020,TX,64287
5/30/2020,TX,62338
5/29/2020,TX,61006
5/28/2020,TX,59776
5/27/2020,TX,57921
5/26/2020,TX,56560
5/25/2020,TX,55971
5/24/2020,TX,55348
5/23/2020,TX,54509
5/22/2020,TX,53449
5/21/2020,TX,52268
5/20/2020,TX,51323
5/19/2020,TX,49912
5/18/2020,TX,48693
5/17/2020,TX,47784
5/16/2020,TX,46999
5/15/2020,TX,45198
5/14/2020,TX,43851
5/13/2020,TX,42403
5/12/2020,TX,41048
5/11/2020,TX,39869
5/10/2020,TX,38869
5/9/2020,TX,37860
5/8/2020,TX,36609
5/7/2020,TX,35390
5/6/2020,TX,34422
5/5/2020,TX,33369
5/4/2020,TX,32332
5/3/2020,TX,31548
5/2/2020,TX,30522
5/1/2020,TX,29229
4/30/2020,TX,28087
4/29/2020,TX,27054
