date,positive
1/13/2020,0
1/14/2020,0
1/15/2020,0
1/16/2020,0
1/17/2020,0
1/18/2020,0
1/19/2020,1
1/20/2020,1
1/21/2020,2
1/22/2020,2
1/23/2020,2
1/24/2020,2
1/25/2020,2
1/26/2020,2
1/27/2020,2
1/28/2020,2
1/29/2020,2
1/30/2020,2
1/31/2020,2
2/1/2020,2
2/2/2020,2
2/3/2020,3
2/4/2020,3
2/5/2020,3
2/6/2020,5
2/7/2020,5
2/8/2020,5
2/9/2020,5
2/10/2020,5
2/11/2020,5
2/12/2020,5
2/13/2020,6
2/14/2020,7
2/15/2020,7
2/16/2020,7
2/17/2020,7
2/18/2020,7
2/19/2020,7
2/20/2020,7
2/21/2020,7
2/22/2020,7
2/23/2020,8
2/24/2020,9
2/25/2020,10
2/26/2020,12
2/27/2020,13
2/28/2020,15
2/29/2020,18
3/1/2020,26
3/2/2020,43
3/3/2020,59
3/4/2020,93
3/5/2020,117
3/6/2020,155
3/7/2020,206
3/8/2020,244
3/9/2020,282
3/10/2020,343
3/11/2020,405
3/12/2020,515
3/13/2020,648
3/14/2020,827
3/15/2020,1041
3/16/2020,1197
3/17/2020,1305
3/18/2020,1605
3/19/2020,1873
3/20/2020,2163
3/21/2020,2497
3/22/2020,2801
3/23/2020,2998
3/24/2020,3190
3/25/2020,3653
3/26/2020,4091
3/27/2020,4532
3/28/2020,4967
3/29/2020,5429
3/30/2020,5716
3/31/2020,5957
4/1/2020,6525
4/2/2020,6987
4/3/2020,7439
4/4/2020,7838
4/5/2020,8254
4/6/2020,8461
4/7/2020,8632
4/8/2020,9027
4/9/2020,9440
4/10/2020,9786
4/11/2020,10149
4/12/2020,10458
4/13/2020,10613
4/14/2020,10703
4/15/2020,11074
4/16/2020,11376
4/17/2020,11705
4/18/2020,12014
4/19/2020,12361
4/20/2020,12537
4/21/2020,12633
4/22/2020,12967
4/23/2020,13235
4/24/2020,13519
4/25/2020,13794
4/26/2020,14145
4/27/2020,14311
4/28/2020,14425
4/29/2020,14795
4/30/2020,15090
5/1/2020,15418
5/2/2020,15665
5/3/2020,15983
5/4/2020,16096
5/5/2020,16181
