date,state,positive
3/7/2021,WA,344532
3/6/2021,WA,343868
3/5/2021,WA,343090
3/4/2021,WA,342236
3/3/2021,WA,341441
3/2/2021,WA,340708
3/1/2021,WA,339773
2/28/2021,WA,339773
2/27/2021,WA,338822
2/26/2021,WA,337653
2/25/2021,WA,336565
2/24/2021,WA,335693
2/23/2021,WA,334962
2/22/2021,WA,333794
2/21/2021,WA,333794
2/20/2021,WA,332904
2/19/2021,WA,332007
2/18/2021,WA,330807
2/17/2021,WA,329746
2/16/2021,WA,328047
2/15/2021,WA,328047
2/14/2021,WA,328047
2/13/2021,WA,327167
2/12/2021,WA,326159
2/11/2021,WA,324706
2/10/2021,WA,324025
2/9/2021,WA,323214
2/8/2021,WA,320146
2/7/2021,WA,320146
2/6/2021,WA,319371
2/5/2021,WA,317878
2/4/2021,WA,316294
2/3/2021,WA,314692
2/2/2021,WA,313335
2/1/2021,WA,311597
1/31/2021,WA,311597
1/30/2021,WA,309801
1/29/2021,WA,307809
1/28/2021,WA,305289
1/27/2021,WA,303482
1/26/2021,WA,302141
1/25/2021,WA,300198
1/24/2021,WA,300198
1/23/2021,WA,298249
1/22/2021,WA,296087
1/21/2021,WA,294017
1/20/2021,WA,291989
1/19/2021,WA,289939
1/18/2021,WA,289939
1/17/2021,WA,285970
1/16/2021,WA,285970
1/15/2021,WA,283777
1/14/2021,WA,281202
1/13/2021,WA,278544
1/12/2021,WA,276686
1/11/2021,WA,271595
1/10/2021,WA,271595
1/9/2021,WA,268607
1/8/2021,WA,264012
1/7/2021,WA,260752
1/6/2021,WA,258767
1/5/2021,WA,256435
1/4/2021,WA,255396
1/3/2021,WA,246752
1/2/2021,WA,246752
1/1/2021,WA,246752
12/31/2020,WA,242330
12/30/2020,WA,240846
12/29/2020,WA,238672
12/28/2020,WA,236719
12/27/2020,WA,236719
12/26/2020,WA,233093
12/25/2020,WA,233093
12/24/2020,WA,230202
12/23/2020,WA,227887
12/22/2020,WA,226635
12/21/2020,WA,222600
12/20/2020,WA,222600
12/19/2020,WA,220268
12/18/2020,WA,217205
12/17/2020,WA,214265
12/16/2020,WA,214204
12/15/2020,WA,213537
12/14/2020,WA,212885
12/13/2020,WA,211475
12/12/2020,WA,209247
12/11/2020,WA,206826
12/10/2020,WA,204269
12/9/2020,WA,201292
12/8/2020,WA,197642
12/7/2020,WA,196460
12/6/2020,WA,194687
12/5/2020,WA,191607
12/4/2020,WA,188469
12/3/2020,WA,185157
12/2/2020,WA,181756
12/1/2020,WA,177054
11/30/2020,WA,175740
11/29/2020,WA,173561
11/28/2020,WA,170937
11/27/2020,WA,170407
11/26/2020,WA,167471
11/25/2020,WA,164314
11/24/2020,WA,160636
11/23/2020,WA,159231
11/22/2020,WA,157341
11/21/2020,WA,154148
11/20/2020,WA,151066
11/19/2020,WA,147996
11/18/2020,WA,144780
11/17/2020,WA,141326
11/16/2020,WA,140157
11/15/2020,WA,138276
11/14/2020,WA,135666
11/13/2020,WA,132756
11/12/2020,WA,130593
11/11/2020,WA,128209
11/10/2020,WA,125496
11/9/2020,WA,124719
11/8/2020,WA,123312
11/7/2020,WA,121381
11/6/2020,WA,119257
11/5/2020,WA,117385
11/4/2020,WA,115790
11/3/2020,WA,114084
11/2/2020,WA,113541
11/1/2020,WA,112754
10/31/2020,WA,111607
10/30/2020,WA,110362
10/29/2020,WA,109260
10/28/2020,WA,108185
10/27/2020,WA,107052
10/26/2020,WA,106704
10/25/2020,WA,106115
10/24/2020,WA,105280
10/23/2020,WA,104431
10/22/2020,WA,103646
10/21/2020,WA,102728
10/20/2020,WA,101815
10/19/2020,WA,101517
10/18/2020,WA,101108
10/17/2020,WA,100444
10/16/2020,WA,99674
10/15/2020,WA,98903
10/14/2020,WA,98135
10/13/2020,WA,97268
10/12/2020,WA,97015
10/11/2020,WA,96632
10/10/2020,WA,95931
10/9/2020,WA,95205
10/8/2020,WA,94482
10/7/2020,WA,93759
10/6/2020,WA,92853
10/5/2020,WA,92601
10/4/2020,WA,92198
10/3/2020,WA,91570
10/2/2020,WA,90990
10/1/2020,WA,90372
9/30/2020,WA,89739
9/29/2020,WA,88961
9/28/2020,WA,88761
9/27/2020,WA,88433
9/26/2020,WA,87912
9/25/2020,WA,87324
9/24/2020,WA,86729
9/23/2020,WA,86130
9/22/2020,WA,85461
9/21/2020,WA,85265
9/20/2020,WA,84942
9/19/2020,WA,84407
9/18/2020,WA,83929
9/17/2020,WA,83458
9/16/2020,WA,82976
9/15/2020,WA,82465
9/14/2020,WA,82327
9/13/2020,WA,82088
9/12/2020,WA,81610
9/11/2020,WA,81135
9/10/2020,WA,80599
9/9/2020,WA,80035
9/8/2020,WA,79816
9/7/2020,WA,79653
9/6/2020,WA,79349
9/5/2020,WA,78842
9/4/2020,WA,78315
9/3/2020,WA,77787
9/2/2020,WA,77238
9/1/2020,WA,76642
8/31/2020,WA,76480
8/30/2020,WA,76155
8/29/2020,WA,75656
8/28/2020,WA,75123
8/27/2020,WA,74525
8/26/2020,WA,73916
8/25/2020,WA,73284
8/24/2020,WA,73067
8/23/2020,WA,72793
8/22/2020,WA,72242
8/21/2020,WA,71733
8/20/2020,WA,71105
8/19/2020,WA,70481
8/18/2020,WA,69811
8/17/2020,WA,69647
8/16/2020,WA,69288
8/15/2020,WA,68615
8/14/2020,WA,67987
8/13/2020,WA,67355
8/12/2020,WA,66630
8/11/2020,WA,65806
8/10/2020,WA,65593
8/9/2020,WA,65229
8/8/2020,WA,64555
8/7/2020,WA,63823
8/6/2020,WA,63055
8/5/2020,WA,62183
8/4/2020,WA,61312
8/3/2020,WA,61074
8/2/2020,WA,60658
8/1/2020,WA,59947
7/31/2020,WA,59196
7/30/2020,WA,58298
7/29/2020,WA,57339
7/28/2020,WA,56338
7/27/2020,WA,56001
7/26/2020,WA,55526
